subject_label,image_outlier_percentage,contrast_name
579 (vif=5),9.201054183941583,Q01_v_baseline
581 (vif=2),0.5716125595761004,Q01_v_baseline
582 (vif=3),2.7193334631850505,Q01_v_baseline
583 (vif=4),0.9854155321204123,Q01_v_baseline
584 (vif=5),5.293975012819544,Q01_v_baseline
585 (vif=6),4.225480881984664,Q01_v_baseline
586 (vif=7),7.428180737690256,Q01_v_baseline
587 (vif=4),1.8567470554798087,Q01_v_baseline
588 (vif=4),8.892192599247124,Q01_v_baseline
589 (vif=5),1.2557191068851885,Q01_v_baseline
590 (vif=8),6.224932324729995,Q01_v_baseline
591 (vif=3),1.630964069499819,Q01_v_baseline
592 (vif=4),4.302596901844027,Q01_v_baseline
593 (vif=3),3.5167290087411405,Q01_v_baseline
594 (vif=6),2.2176818288421862,Q01_v_baseline
595 (vif=8),5.5412232826779135,Q01_v_baseline
596 (vif=3),0.5859227488283533,Q01_v_baseline
597 (vif=3),2.143348345781873,Q01_v_baseline
598 (vif=3),6.629592676363145,Q01_v_baseline
601 (vif=2),2.1886639450806737,Q01_v_baseline
602 (vif=4),4.489821877894335,Q01_v_baseline
604 (vif=3),2.8318274509180386,Q01_v_baseline
605 (vif=2),10.08828591758126,Q01_v_baseline
606 (vif=8),7.785140458482563,Q01_v_baseline
607 (vif=4),1.5029673767435574,Q01_v_baseline
608 (vif=5),3.809690383155317,Q01_v_baseline
609 (vif=4),8.937110693288918,Q01_v_baseline
610 (vif=9),5.21169142461909,Q01_v_baseline
611 (vif=2),1.5514630180984144,Q01_v_baseline
612 (vif=3),2.3142756062948933,Q01_v_baseline
613 (vif=3),2.2407371337485937,Q01_v_baseline
614 (vif=2),4.177780251143822,Q01_v_baseline
616 (vif=4),1.1821806343388892,Q01_v_baseline
617 (vif=7),10.690903887203909,Q01_v_baseline
619 (vif=4),4.3312172803485325,Q01_v_baseline
621 (vif=7),4.705269727192142,Q01_v_baseline
622 (vif=5),2.406496825920523,Q01_v_baseline
624 (vif=5),5.8822827931899395,Q01_v_baseline
626 (vif=2),0.796600535042076,Q01_v_baseline
627 (vif=3),3.325528980120762,Q01_v_baseline
628 (vif=5),4.474319172871061,Q01_v_baseline
629 (vif=8),2.9872520064077848,Q01_v_baseline
631 (vif=3),1.228291244151704,Q01_v_baseline
633 (vif=3),1.6365291430979174,Q01_v_baseline
634 (vif=5),5.1584257201801496,Q01_v_baseline
635 (vif=2),4.004070453831752,Q01_v_baseline
636 (vif=4),6.064737706156164,Q01_v_baseline
637 (vif=4),1.6218214485886575,Q01_v_baseline
638 (vif=4),9.025754365601484,Q01_v_baseline
641 (vif=4),1.112219709105653,Q01_v_baseline
642 (vif=4),12.020558971892402,Q01_v_baseline
643 (vif=3),0.8967718598078459,Q01_v_baseline
645 (vif=4),1.2326638019787812,Q01_v_baseline
646 (vif=5),4.850359145999706,Q01_v_baseline
647 (vif=8),5.3436631699454225,Q01_v_baseline
648 (vif=3),0.7190870099257063,Q01_v_baseline
061 (vif=27),19.876455366122215,Q02_v_baseline
130 (vif=8),4.401178205581769,Q02_v_baseline
172 (vif=8),2.677197905942306,Q02_v_baseline
192 (vif=5),2.8691929450766986,Q02_v_baseline
234 (vif=6),4.649221485954151,Q02_v_baseline
251 (vif=9),6.604947350428709,Q02_v_baseline
358 (vif=4),1.7343154363216453,Q02_v_baseline
373 (vif=5),2.843355103371242,Q02_v_baseline
445 (vif=4),18.839761655847898,Q02_v_baseline
465 (vif=7),4.332012290862546,Q02_v_baseline
483 (vif=27),18.061446362628146,Q02_v_baseline
491 (vif=27),10.190047263375059,Q02_v_baseline
495 (vif=30),20.783959867869253,Q02_v_baseline
497 (vif=27),14.715247109143018,Q02_v_baseline
512 (vif=30),25.46736680592601,Q02_v_baseline
513 (vif=2),1.5315877552480632,Q02_v_baseline
518 (vif=5),4.9147549976348435,Q02_v_baseline
519 (vif=6),3.6483032488104654,Q02_v_baseline
524 (vif=6),1.696154931648971,Q02_v_baseline
525 (vif=4),6.182399262230243,Q02_v_baseline
526 (vif=7),3.4698233884143117,Q02_v_baseline
541 (vif=6),5.391761306043272,Q02_v_baseline
546 (vif=8),6.09057554786162,Q02_v_baseline
548 (vif=8),2.8839006395859585,Q02_v_baseline
549 (vif=8),6.214994693304819,Q02_v_baseline
553 (vif=4),3.3978749368960406,Q02_v_baseline
554 (vif=7),1.5673632283786954,Q02_v_baseline
555 (vif=5),2.0666298311795175,Q02_v_baseline
556 (vif=6),5.831004615036034,Q02_v_baseline
557 (vif=4),4.343539943315751,Q02_v_baseline
558 (vif=4),1.0720716781479436,Q02_v_baseline
561 (vif=4),2.37747894215901,Q02_v_baseline
567 (vif=3),2.023699263422759,Q02_v_baseline
568 (vif=8),3.053635384327958,Q02_v_baseline
570 (vif=5),2.492755466691047,Q02_v_baseline
572 (vif=6),2.7356311787223384,Q02_v_baseline
573 (vif=5),13.931366742325167,Q02_v_baseline
574 (vif=7),3.6502907750955007,Q02_v_baseline
